,Name,Link,City,State
181,"Geodeland Earth Science Clubs, Inc.",http://www.geodeland.com/,Macomb,Illinois 
182,Lincoln Orbit Earth Science Society,http://www.loess.org/,Springfield,Illinois 
183,Midwest Historical Research Society,http://www.mhrsusa.com/,Chicago,Illinois 
184,Northwest Illinois Rock Club,http://nwilrockclubfrpt.blogspot.com/,Freeport,Illinois 
185,Peoria Academy of Science Geology Section,http://www.pasgeology.com/,Peoria,Illinois 
186,Southern Illinois Earth Science Club,http://www.siesclub.org/,Benton,Illinois 
187,West Central Illinois Rock & Mineral Club,http://www.rockchatter.com/,Macomb,Illinois 
188,West Suburban Lapidary Club,http://www.westsuburbanlapidaryclub.com/,Elmhurst,Illinois 
189,500 Earth Sciences Club,http://www.500earthsciencesclub.org/,Indianapolis,Indiana 
190,Brown County Rock and Mineral Club,http://browncountyrock.webs.com/,Nashville,Indiana 
191,Calumet Gem & Mineral Society,https://www.facebook.com/calumetrockclub,Crown Point,Indiana 
192,Evansville Lapidary Society,http://evansvillelapidarysociety.tumblr.com/,Evansville,Indiana 
193,"Eastern Indiana Gem & Geological Society, Inc.",http://eiggs.weebly.com/,Richmond,Indiana 
194,"Lawrence County Rock Club, Inc",http://www.lawrencecountyrockclub.org/,Bedford,Indiana 
195,"Michiana Gem & Mineral Society, Inc.",http://www.michianagms.org/,South Bend,Indiana 
196,Three Rivers Gem & Mineral Society,http://3riversgem_mineral.tripod.com/,Fort Wayne,Indiana 
197,Cedar Valley Rocks and Minerals Society,http://www.cedarvalleyrockclub.org/,Cedar Rapids,Iowa 
198,Des Moines Lapidary Society,http://dmlapidary.org/,Des Moines,Iowa 
199,Geology Club @ Cornell College,http://orgs.cornellcollege.edu/geo_club/,Mount Vernon,Iowa 
200,Iowa State University Geology Club,https://www.facebook.com/ISUGEOCLUB/,Ames,Iowa 
201,River Valley Rockhounds,http://amfed.org/mwf/states/Iowa/RiverValley.html,Fort Dodge,Iowa 
202,The Sac & Fox Lapidary Club,http://members.iowatelecom.net/billrath/rock_club.html,Fairfield,Iowa 
203,McPherson Gem and Mineral Club,https://mcphersongemandmineralclub.org/,McPherson,Kansas 
204,Olathe Gem and Mineral Society,http://olathegemclub.com/,Kansas City,Kansas 
205,Topeka Gem & Mineral Society,http://www.topekagms.org/,Topeka,Kansas 
206,Wichita Gem and Mineral Society,http://www.wgmsks.org/,Wichita,Kansas 
207,Wichita Paleontological Society,http://www.reocities.com/CapeCanaveral/Hangar/4265/home.html,Wichita,Kansas 
208,Blue Grass Gem & Mineral Club of Central Kentucky,http://bggamc.homestead.com/,Lexington,Kentucky 
209,KYANA Geological Society,http://www.kyanageo.org/,Louisville,Kentucky 
210,Kentucky Paleontological Society,http://www.uky.edu/OtherOrgs/KPS/,Lexington,Kentucky 
211,Ark-La-Tex Gem & Mineral Society,http://larockclub.com/,Shreveport,Louisiana 
212,Baton Rouge Gem & Mineral Society,http://www.brgemandmineral.org/,Baton Rouge,Louisiana 
213,DeRidder Gem & Mineral Society,https://www.facebook.com/DeRidder-Gem-Mineral-Society-1123146734440993/,Leesville,Louisiana 
214,Kennebec Rocks and Minerals Club,http://kennebec-rocksandminerals.com/,Winthrop,Maine 
215,Maine Mineralogical & Geological Society,http://mainemineralclub.org/,Portland,Maine 
216,Oxford County Mineral and Gem Association,http://ocmgassoc.blogspot.com/,South Paris,Maine 
217,Penobscot Mineral and Lapidary Club,http://penobscotminerallapidaryclub.com/index.html,Milford,Maine 
218,American Fossil Federation,http://americanfossilfederation.org/Home.html,Bowie,Maryland 
219,Baltimore Mineral Society,http://www.baltimoremineralsociety.org/,Baltimore,Maryland 
220,Calvert Marine Museum Fossil Club,http://www.calvertmarinemuseum.com/209/Fossil-Club,Solomons,Maryland 
221,Central Maryland Rock and Mineral Collectors Exchange,https://www.meetup.com/rockhounds/,Elkridge,Maryland 
222,Chesapeake Gem & Mineral Society,http://www.chesapeakegemandmineral.org/,Baltimore,Maryland 
223,"Gem Cutters Guild of Baltimore, Inc.",http://www.gemcuttersguild.com/,Baltimore,Maryland 
224,"Gem, Lapidary, and Mineral Society of Montgomery County, MD., Inc.",http://www.glmsmc.com/,Rockville,Maryland 
225,Maryland Geological Society,http://www.ecphora.net/mgs/,Bowie,Maryland 
226,Micromineralogists of the National Capital Area,http://dcmicrominerals.org/,"Washington, DC",Maryland 
227,Patuxent Lapidary Guild,http://www.patuxentlapidary.org/,Annapolis,Maryland 
228,Southern Maryland Rock and Mineral Club,http://www.smrmc.org/,Clinton,Maryland 
229,The Mineralogical Society of the District of Columbia,http://www.mineralogicalsocietyofdc.org/,"Washington, DC",Maryland 
230,"Boston Mineral Club, Inc.",http://www.bostonmineralclub.org/,Boston,Massachusetts 
231,Connecticut Valley Mineral Club,http://www.cvmineralclub.org/,Springfield,Massachusetts 
232,Micromounters of New England,http://micromountersofnewengland.org/,Chemlsford,Massachusetts 
233,Nashoba Valley Mineralogical Society,http://www.americantowns.com/ma/westford/organization/nashoba_valley_mineralogical_society,Westford,Massachusetts 
234,North Shore Rock & Mineral Club of Massachusetts,http://www.northshorerock.org/,South Hamilton,Massachusetts 
235,Northern Berkshire Mineral Club,http://nbmclub.webs.com/,North Adams,Massachusetts 
236,Southeastern Massachusetts Mineral Club,http://semmc.com/,Bridgewater,Massachusetts 
237,Worcester Mineral Club,http://worcestermineralclub.org/,Worcester,Massachusetts 
238,"Big Rapids Rock, Gem & Mineral Club",https://sites.google.com/site/bigrapidsrockgemmineralclub/,Big Rapids,Michigan 
239,Central Michigan Lapidary and Mineral Society,http://michrocks.org/,Lansing,Michigan 
240,Copper Country Rock and Mineral Club,http://www.ccrmc.info/,Dollar Bay,Michigan 
241,Flint Rock and Gem Club,http://www.flintrockandgem.org/,Flint,Michigan 
242,Grand Traverse Area Rock and Mineral Club,http://tcrockhounds.com/,Traverse City,Michigan 
243,Indian Mounds Rock & Mineral Club,http://www.indianmoundsrockclub.com/,Wyoming,Michigan 
244,Ishpeming Rock and Mineral Club,http://www.ishpemingrocks.org/,Ishpeming,Michigan 
245,Kalamazoo Geological & Mineral Society,http://kalamazoorockclub.org/,Kalamazoo,Michigan 
246,Livingston Gem & Mineral Society,http://www.livingstongemandmineralsociety.com/,Howell,Michigan 
247,Michigan Gem & Mineral Society,http://mgmsrockclub.com/,Michigan Center,Michigan 
248,Michigan Mineralogical Society,https://www.michmin.org/,Bloomfield Hills,Michigan 
249,Mid-Michigan Rock Club,http://www.midmichrockclub.com/?Page=1,Midland,Michigan 
250,Midwest Faceters' Guild,http://www.midwestfaceters.org/,Grand Rapids,Michigan 
251,Midwest Mineralological & Lapidary Society,http://www.mmls.us/,Taylor,Michigan 
252,Mikenauk Rock and Gem Club,http://mikenaukclub.weebly.com/,Roscommon,Michigan 
253,Mount Clemens Gem & Lapidary Society,http://mcgls.org/,Mt. Clemens,Michigan 
254,Oakland County Earth Science Club,http://www.ocesc.com/,Waterford,Michigan 
255,Roamin Club,https://roaminrockclub.weebly.com/,Livonia,Michigan 
256,StateLine Gem & Mineral Society,http://statelinegms.com/,Morenci,Michigan 
257,"Tulip City Gem & Mineral Club, Inc.",http://www.tulipcity.org/,Holland,Michigan 
258,Anoka County Gem & Mineral Club,http://www.amfed.org/mwf/states/Minnesota/AnokaGem.html,Minneapolis,Minnesota 
259,"Cuyuna Rock, Gem and Mineral Society",http://cuyunarockclub.org/wp/,Brainerd,Minnesota 
260,Minnesota Mineral Club,http://minnesotamineralclub.org/,Falcon Heights,Minnesota 
261,Minnesota Valley Gem & Mineral Club,http://www.mnvalleygemandmineralclub.com/,Mankato,Minnesota 
262,St Croix Rockhounds,http://stcroixrockhounds.org/,Stillwater,Minnesota 
263,"Harrison County Gem & Mineral Society, Inc.",http://www.gulfportgems.org/,Gulfport,Mississippi 
264,Mississippi Gem & Mineral Society,http://missgems.org/,Jackson,Mississippi 
265,Mississippi Geological Society,http://www.missgeo.com/,Jackson,Mississippi 
266,Mississippi Gulf Coast Gem and Mineral Society,http://www.mgcgms.org/,Ocean Springs,Mississippi 
267,North Mississippi Gem and Mineral Society,http://www.nmgms.org/,Tupelo,Mississippi 
268,Central Missouri Rock and Lapidary Club,http://www.cmrlc.org/,Columbia,Missouri 
269,Independence Gem & Mineral Society,http://www.igams.co/,Independence,Missouri 
270,Missouri Valley Gem & Mineral Society,http://www.movalleyrockclub.com/,St. Joseph,Missouri 
271,"Mozarkite Society of Lincoln, Inc.",http://www.mozarkite.com/,Lincoln,Missouri 
272,Ozark Mountain Gem & Mineral Society,https://www.facebook.com/omgms.57,Springfield,Missouri 
273,Rock Hobby Club of Greater Saint Louis,xxxxxhttp://rockhobby.stlearthsci.org/Home.aspxxxxxx,St. Louis,Missouri 
274,Rockwood Gem & Mineral Society,http://rockwood.stlearthsci.org/,St. Louis,Missouri 
275,St. Louis Mineral & Gem Society,http://www.stlrockclub.com/,St. Louis,Missouri 
276,"Show Me Gems & Minerals Club, Inc.",http://showme.stlearthsci.org/,St. Peters,Missouri 
277,Show-Me Rockhounds Kansas City,https://showmerockhounds.com/,Kansas City,Missouri 
278,"Billings Gem & Mineral Club, Inc.",http://www.billingsgemclub.com/,Billings,Montana 
279,Bitterroot Gem & Mineral Society,http://www.ravalligemandmineralclub.org/,Corvallis,Montana 
280,Bozeman Gem and Mineral Club,http://bozemangemandmineralclub.com/,Bozeman,Montana 
281,Hellgate Mineral Society,https://www.facebook.com/HellgateMineralSociety/,Missoula,Montana 
282,Kalispell Rockhound Club,http://www.kalispellrockhounds.org/,Kalispell,Montana 
283,"Lincoln Gem & Mineral Club, Inc.",https://www.lincolngemmineralclub.org/,Lincoln,Nebraska 
284,Comstock Gold Prospectors,http://cgpgold.org/,Reno,Nevada 
285,Great Basin Gem & Mineral Club,http://greatbasingemandmineralclub.rocks/,Carson City,Nevada 
286,High Desert Rockers,https://highdesertrockers.wordpress.com/,Carson City,Nevada 
287,Nye Gold Seekers,http://nyegoldseekers.webs.com/,Pahrump,Nevada 
288,Reno Gem and Mineral Society,http://www.renorockhounds.com/,Reno,Nevada 
289,Southern Nevada Gem and Mineral Society,http://www.snvgms.org/,Las Vegas,Nevada 
290,Capital Mineral Club,http://www.capitalmineralclub.org/,Concord,New Hampshire 
291,Keene Mineral Club,https://sites.google.com/site/keenemineralclub/home,Keene,New Hampshire 
292,Saco Valley Gem and Mineral Club,http://www.sacovalleygemandmineralclub.org/,Conway,New Hampshire 
293,Southeastern New Hampshire Mineral Club,https://www.senhmc.org/,Dover,New Hampshire 
294,Cape Atlantic Rockhounds Inc.,http://www.capeatlanticrockhounds.com/,Cologne,New Jersey 
295,Delaware Valley Earth Science Society,http://www.dvess.org/,Woodbury,New Jersey 
296,Friends of Mineralogy - New Jersey Chapter,https://fomnj.wordpress.com/,Marlboro Township,New Jersey 
297,Morris Museum Mineralogical Society,http://morrismuseum.org/mineral-society/,Morristown,New Jersey 
298,"New Jersey Mineralogical Society, Inc",http://www.njmin.org/,Mountainside,New Jersey 
299,"North Jersey Mineralogical Society, Inc.",http://www.nojms.webs.com/,Paterson,New Jersey 
300,Albuquerque Gem & Mineral Club,http://www.agmc.info/,Albuquerque,New Mexico 
301,Carlsbad Gem and Mineral Society,http://www.carlsbadgms.org/,Carlsbad,New Mexico 
302,Deming Gem & Mineral Society,http://www.thedgms.com/,Deming,New Mexico 
303,"Grant County Rolling Stones Gem & Mineral Society, Inc.",http://rollingstonesgms.blogspot.com/,Silver City,New Mexico 
304,Los Alamos Geological Society,http://pweb.netcom.com/~hoffmans/LAGS.html,Los Alamos,New Mexico 
305,"Buffalo Geological Society, Inc.",http://www.bgsny.org/,Buffalo,New York 
